-83,-84,-9,-5,-61,96,-98,-46,-3,78,-51,37,-67,55,-62,56
-83,-86,94,-5,-61,74,-98,-46,-3,78,-99,37,-81,-31,18,56
-75,-84,-9,-5,-61,96,-98,-46,-3,78,-51,37,15,55,18,56
-75,-84,-9,-5,-61,96,-98,45,24,78,-51,37,-67,55,18,56
-75,-8,-6,-29,-61,74,-73,-46,-3,78,-51,37,-67,-31,18,56
-75,-86,-6,-5,-61,74,-98,-46,-3,78,-51,37,-67,55,-62,56
-75,-86,-9,-5,-61,96,-98,45,24,78,-51,37,-67,55,-62,56
-83,-84,-9,-5,-61,96,-98,21,24,78,-51,37,-67,2,-62,56
-83,-86,-9,-5,-61,74,-98,21,24,78,-51,37,-81,-31,18,56
-75,-86,-9,-5,-61,96,-98,45,24,78,-51,37,-67,55,18,56
-83,-84,94,-5,-61,74,-98,-46,-3,78,-99,37,-67,55,18,56
-75,-8,-9,-5,-61,96,-98,-46,-3,78,-51,37,15,-31,18,56
-75,-84,-9,-5,-61,96,-98,-46,-3,78,-51,37,15,2,18,56
-75,-86,-9,-5,-61,96,-98,45,24,78,-51,37,-67,55,18,56
-75,-84,-9,-5,-61,74,-98,45,-3,78,-51,37,-67,55,18,56
-75,-86,-9,-5,-61,74,-98,45,24,78,-51,37,-67,55,18,56
-75,-86,-9,-5,-61,74,-98,45,24,78,-51,37,-67,55,18,56
-75,-84,94,-5,-61,74,-98,-46,24,78,-51,37,-67,55,18,56
-67,-84,-9,-40,-61,96,-98,-46,-3,78,-92,37,90,55,-89,74
38,100,-9,-74,-74,96,-98,45,-63,78,-51,37,-39,-82,-90,56
-83,-84,94,-5,-61,96,-98,-46,-3,78,-51,37,-81,-31,18,56
-83,-86,94,-5,-61,96,-98,-46,-3,78,-99,37,-81,-31,18,56
-75,-84,-9,-5,-61,96,-98,-46,24,78,-51,37,15,55,18,56
-75,-84,-6,-5,-61,74,-73,45,-3,78,-51,37,-67,-31,18,56
-75,-8,-6,-29,-61,74,-73,-46,-3,78,-51,37,-67,55,18,56
-75,-86,-9,-5,-61,74,-98,-46,-3,78,-51,37,-67,55,-62,56
-75,-86,-9,-5,-61,96,-98,21,24,78,-51,37,-67,55,-62,56
-83,-86,-9,-5,-61,96,-98,21,24,78,-51,37,-67,2,18,56
-83,-86,-9,-5,-61,74,-98,21,24,78,-51,37,-81,-31,18,56
-83,-84,94,-5,-61,96,-98,-46,-3,78,-51,37,-67,55,18,56
-75,-84,-9,-5,-61,96,-98,-46,-3,78,-51,37,15,55,18,56
-75,-8,-9,-5,-61,96,-98,-46,-3,78,-51,37,15,-31,18,56
-75,-86,-9,-5,-61,96,-98,45,24,78,-51,37,15,2,18,56
-75,-84,-9,-5,-61,74,-98,45,-3,78,-51,37,-67,55,18,56
-75,-84,-9,-5,-61,74,-98,45,24,78,-51,37,-67,55,18,56
-75,-86,-9,-5,-61,74,-98,45,24,78,-51,37,-67,55,18,56
-75,-86,-9,-5,-61,74,-98,-46,24,78,-51,37,-67,55,18,56
-67,-84,94,-40,-61,74,-98,-46,24,78,-51,37,90,55,18,56
-67,-84,-9,-74,-61,96,-98,-46,-63,78,-92,37,-39,-82,-89,74
38,100,-9,-5,-61,96,-98,45,-63,78,-51,37,-81,-82,-90,56
71,92,62,-57,-78,-24,96,-78,-60,-21,-35,-10,18,34,34,-60
0,78,-29,25,85,-98,-68,-17,-69,19,-10,48,76,78,8,79
-50,76,-59,-100,72,-52,-29,-55,-57,-20,9,92,91,-48,46,-32
23,2,-91,61,1,-52,-99,-37,88,-1,13,65,-98,-72,77,93
72,-45,-37,-12,-71,-47,-94,-39,20,-40,-25,-54,1,9,29,-39
-83,92,62,-57,-78,96,-98,-78,-60,78,-35,-10,18,55,-62,-60
0,78,-29,25,85,74,-98,-46,-3,78,-99,48,-81,-31,8,79
-50,76,-9,-5,72,-52,-29,-46,-57,78,-51,92,91,-48,46,56
-75,-84,-91,61,-61,-52,-98,-37,24,78,-51,37,-67,55,18,56
72,-8,-6,-29,-61,74,-73,-46,20,78,-25,37,1,9,18,56
